Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
19.0,Sun,2024-01-07,15:00,Torino,Napoli,2.1,1.0,3–0,2023-2024,185
19.0,Sun,2024-01-07,18:00,Salernitana,Juventus,0.8,2.0,1–2,2023-2024,186
19.0,Sun,2024-01-07,20:45,Roma,Atalanta,2.1,0.7,1–1,2023-2024,187
20.0,Sat,2024-01-13,15:00,Napoli,Salernitana,2.2,0.1,2–1,2023-2024,188
20.0,Sat,2024-01-13,15:00,Genoa,Torino,0.5,0.4,0–0,2023-2024,189
20.0,Sat,2024-01-13,18:00,Hellas Verona,Empoli,0.8,0.8,2–1,2023-2024,190
20.0,Sat,2024-01-13,20:45,Monza,Inter,1.0,4.3,1–5,2023-2024,191
20.0,Sun,2024-01-14,12:30,Lazio,Lecce,0.9,1.1,1–0,2023-2024,192
20.0,Sun,2024-01-14,15:00,Cagliari,Bologna,0.7,0.6,2–1,2023-2024,193
20.0,Sun,2024-01-14,18:00,Fiorentina,Udinese,1.3,1.2,2–2,2023-2024,194
20.0,Sun,2024-01-14,20:45,Milan,Roma,1.5,1.4,3–1,2023-2024,195
20.0,Mon,2024-01-15,20:45,Atalanta,Frosinone,3.7,0.4,5–0,2023-2024,196
20.0,Tue,2024-01-16,20:45,Juventus,Sassuolo,1.2,0.3,3–0,2023-2024,197
21.0,Sat,2024-01-20,18:00,Roma,Hellas Verona,0.9,1.1,2–1,2023-2024,198
21.0,Sat,2024-01-20,20:45,Udinese,Milan,0.6,2.6,2–3,2023-2024,199
21.0,Sun,2024-01-21,12:30,Frosinone,Cagliari,2.8,0.6,3–1,2023-2024,200
21.0,Sun,2024-01-21,15:00,Empoli,Monza,1.3,0.8,3–0,2023-2024,201
21.0,Sun,2024-01-21,18:00,Salernitana,Genoa,0.8,1.1,1–2,2023-2024,202
21.0,Sun,2024-01-21,20:45,Lecce,Juventus,0.6,2.1,0–3,2023-2024,203
22.0,Fri,2024-01-26,20:45,Cagliari,Torino,2.2,1.6,1–2,2023-2024,204
22.0,Sat,2024-01-27,15:00,Atalanta,Udinese,1.1,0.6,2–0,2023-2024,205
22.0,Sat,2024-01-27,18:00,Juventus,Empoli,0.8,0.8,1–1,2023-2024,206
22.0,Sat,2024-01-27,20:45,Milan,Bologna,3.3,1.8,2–2,2023-2024,207
22.0,Sun,2024-01-28,12:30,Genoa,Lecce,1.7,1.8,2–1,2023-2024,208
22.0,Sun,2024-01-28,15:00,Monza,Sassuolo,0.4,0.8,1–0,2023-2024,209
22.0,Sun,2024-01-28,15:00,Hellas Verona,Frosinone,2.2,1.2,1–1,2023-2024,210
22.0,Sun,2024-01-28,18:00,Lazio,Napoli,0.5,0.2,0–0,2023-2024,211
22.0,Sun,2024-01-28,20:45,Fiorentina,Inter,1.8,0.5,0–1,2023-2024,212
22.0,Mon,2024-01-29,20:45,Salernitana,Roma,1.2,1.6,1–2,2023-2024,213
23.0,Fri,2024-02-02,20:45,Lecce,Fiorentina,2.6,1.1,3–2,2023-2024,214
23.0,Sat,2024-02-03,15:00,Udinese,Monza,0.9,0.1,0–0,2023-2024,215
23.0,Sat,2024-02-03,15:00,Empoli,Genoa,0.6,0.6,0–0,2023-2024,216
23.0,Sat,2024-02-03,18:00,Frosinone,Milan,1.0,1.4,2–3,2023-2024,217
23.0,Sat,2024-02-03,20:45,Bologna,Sassuolo,1.1,0.8,4–2,2023-2024,218
23.0,Sun,2024-02-04,12:30,Torino,Salernitana,0.8,0.1,0–0,2023-2024,219
23.0,Sun,2024-02-04,15:00,Napoli,Hellas Verona,1.2,0.9,2–1,2023-2024,220
23.0,Sun,2024-02-04,18:00,Atalanta,Lazio,2.3,1.2,3–1,2023-2024,221
23.0,Sun,2024-02-04,20:45,Inter,Juventus,1.7,0.6,1–0,2023-2024,222
23.0,Mon,2024-02-05,20:45,Roma,Cagliari,2.5,0.6,4–0,2023-2024,223
24.0,Fri,2024-02-09,20:45,Salernitana,Empoli,0.9,2.2,1–3,2023-2024,224
24.0,Sat,2024-02-10,15:00,Cagliari,Lazio,0.8,1.3,1–3,2023-2024,225
24.0,Sat,2024-02-10,18:00,Roma,Inter,0.7,0.9,2–4,2023-2024,226
24.0,Sat,2024-02-10,20:45,Sassuolo,Torino,0.4,1.0,1–1,2023-2024,227
24.0,Sun,2024-02-11,12:30,Fiorentina,Frosinone,2.2,1.1,5–1,2023-2024,228
24.0,Sun,2024-02-11,15:00,Bologna,Lecce,1.5,1.2,4–0,2023-2024,229
24.0,Sun,2024-02-11,15:00,Monza,Hellas Verona,0.7,0.7,0–0,2023-2024,230
24.0,Sun,2024-02-11,18:00,Genoa,Atalanta,0.8,2.1,1–4,2023-2024,231
24.0,Sun,2024-02-11,20:45,Milan,Napoli,0.9,0.7,1–0,2023-2024,232
24.0,Mon,2024-02-12,20:45,Juventus,Udinese,1.7,0.7,0–1,2023-2024,233
21.0,Wed,2024-02-14,19:00,Bologna,Fiorentina,2.1,0.9,2–0,2023-2024,234
25.0,Fri,2024-02-16,19:00,Torino,Lecce,1.2,0.5,2–0,2023-2024,235
25.0,Fri,2024-02-16,21:00,Inter,Salernitana,3.9,0.0,4–0,2023-2024,236
25.0,Sat,2024-02-17,15:00,Napoli,Genoa,1.4,0.3,1–1,2023-2024,237
25.0,Sat,2024-02-17,18:00,Hellas Verona,Juventus,0.6,1.8,2–2,2023-2024,238
25.0,Sat,2024-02-17,20:45,Atalanta,Sassuolo,4.2,1.6,3–0,2023-2024,239
25.0,Sun,2024-02-18,12:30,Lazio,Bologna,1.1,1.4,1–2,2023-2024,240
25.0,Sun,2024-02-18,15:00,Empoli,Fiorentina,1.0,0.7,1–1,2023-2024,241
25.0,Sun,2024-02-18,15:00,Udinese,Cagliari,1.0,0.2,1–1,2023-2024,242
25.0,Sun,2024-02-18,18:00,Frosinone,Roma,1.4,1.8,0–3,2023-2024,243
25.0,Sun,2024-02-18,20:45,Monza,Milan,1.8,1.3,4–2,2023-2024,244
21.0,Thu,2024-02-22,20:45,Torino,Lazio,1.5,0.5,0–2,2023-2024,245
26.0,Fri,2024-02-23,20:45,Bologna,Hellas Verona,1.6,0.6,2–0,2023-2024,246
26.0,Sat,2024-02-24,15:00,Sassuolo,Empoli,1.7,2.0,2–3,2023-2024,247
26.0,Sat,2024-02-24,18:00,Salernitana,Monza,0.9,2.4,0–2,2023-2024,248
