index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
3,Davide Frattesi,16.0,it ITA,FW,23-301,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
4,Denzel Dumfries,2.0,nl NED,WB,27-123,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,2.0,0.0,0.0,0.5,2.0,1.0,19.0,28.0,67.9,3.0,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
5,Federico Dimarco,32.0,it ITA,WB,25-282,66.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,54.0,3.0,1.0,0.0,0.3,0.3,0.3,7.0,0.0,40.0,45.0,88.9,5.0,34.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
6,Hakan Çalhanoğlu,20.0,tr TUR,CM,29-192,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,59.0,2.0,1.0,1.0,0.2,0.2,0.2,5.0,0.0,46.0,50.0,92.0,3.0,35.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
7,Henrikh Mkhitaryan,22.0,am ARM,CM,34-210,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,0.2,0.2,0.2,5.0,1.0,49.0,55.0,89.1,6.0,37.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
8,Juan Cuadrado,7.0,co COL,WB,35-085,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,10.0,11.0,90.9,0.0,10.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
9,Lautaro Martínez,10.0,ar ARG,FW,25-362,79.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,25.0,0.0,4.0,1.0,1.6,1.6,0.0,5.0,0.0,11.0,12.0,91.7,3.0,17.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
10,Marcus Thuram,9.0,fr FRA,FW,26-013,66.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,0.2,0.2,0.0,3.0,0.0,10.0,11.0,90.9,3.0,14.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,1,2
11,Marko Arnautović,8.0,at AUT,FW,34-122,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.1,0.1,0.9,2.0,1.0,9.0,11.0,81.8,1.0,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
12,Matteo Darmian,36.0,it ITA,CB,33-260,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,49.0,56.0,87.5,5.0,44.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
13,Nicolò Barella,23.0,it ITA,CM,26-193,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,85.0,2.0,0.0,0.0,0.1,0.1,0.2,7.0,1.0,68.0,79.0,86.1,11.0,49.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
14,Stefan de Vrij,6.0,nl NED,CB,31-195,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,100.0,2.0,21.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
15,Yann Aurel Bisseck,31.0,de GER,CB,22-263,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
0,16 Players,,,,,990.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,655.0,13.0,13.0,11.0,0.8,0.8,0.5,20.0,0.0,508.0,567.0,89.6,43.0,395.0,23.0,16.0,6.0,,,,,,,,,,,,,,,,,,,,,0,2
1,Andrea Colpani,28.0,it ITA,CM,24-100,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,23.0,25.0,92.0,3.0,22.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,0,2
